datebirth,age,gender,maritalstatus,education,educationfield,department,jobrole,joblevel,totalworkingyears,yearsatcompany,yearssincelastpromotion,yearswithcurrmanager,numcompaniesworked,trainingtimeslastyear,performancerating,percentsalaryhike,monthlyincome,monthlyrate,salary,standardhours,overtime,remotework,distancefromhome,businesstravel,attrition,environmentsatisfaction,jobinvolvement,jobsatisfaction,relationshipsatisfaction,worklifebalance
1980,43,F,Unknown,4,Other,Other, Healthcare Representative ,2,8,5,0,2,4,3,3,14,4492.84,11681.39,53914.11,Part Time,Yes,Yes,8,travel_rarely,No,3,3,3,4,3
1992,31,M,Married,2,Unknown,Other, Laboratory Technician ,1,4,4,3,2,1,3,3,12,2074.034,4805.67,22180.0,Part Time,No,No,1,travel_rarely,No,4,2,1,3,3
1998,25,M,Married,3,Medical,Other, Laboratory Technician ,1,6,2,0,2,5,5,3,13,2342.59,6090.75,28111.13,Part Time,No,Yes,3,travel_rarely,Yes,1,3,1,3,3
1978,45,M,Married,2,Life Sciences,Other, Research Scientist ,1,8,2,0,2,3,3,3,21,2211.67,5750.33,26540.0,Part Time,No,Yes,10,non-travel,No,1,3,4,4,2
1971,52,F,Married,2,Life Sciences,Other, Manager ,4,31,5,1,4,2,2,3,13,12783.92,33238.2,153407.07,Full Time,No,No,4,travel_rarely,No,4,3,4,4,1
1989,34,F,Unknown,2,Unknown,Other, Sales Representative ,1,3,2,1,0,0,3,3,16,2526.906,6090.75,28111.13,Part Time,No,Yes,6,travel_frequently,Yes,4,1,3,4,2
1997,26,F,Divorced,3,Life Sciences,Other, Research Scientist ,1,4,3,0,2,1,3,4,22,2342.59,6090.75,28111.13,Part Time,No,Yes,23,travel_rarely,No,1,3,4,2,1
1994,29,M,Unknown,4,Unknown,Other, Research Director ,3,10,10,0,7,1,2,3,18,9945.83,25859.17,119350.0,Full Time,No,Yes,3,non-travel,No,2,2,3,3,3
1994,29,F,Married,5,Technical Degree,Other, Research Scientist ,1,6,2,1,1,5,2,3,16,2532.054,5516.33,25460.0,Part Time,No,No,25,non-travel,Yes,3,2,2,2,4
1977,46,M,Married,3,Life Sciences,Other, Research Director ,4,20,3,0,1,6,2,3,13,8896.864,38698.83,178610.0,Full Time,No,No,2,non-travel,No,1,3,3,3,1
1977,46,F,Unknown,3,Marketing,Other, Sales Executive ,3,15,3,1,2,2,3,3,19,8339.32,21682.23,53914.11,Full Time,Unknown,No,10,non-travel,No,3,2,4,3,3
1993,30,M,Single,1,Marketing, Sales , Sales Representative ,1,4,3,1,2,0,3,3,14,2763.77,6090.75,28111.13,Part Time,Unknown,Yes,7,travel_rarely,No,4,3,2,1,3
1989,34,F,Divorced,3,Unknown, Human Resources , Human Resources ,3,10,3,0,2,9,2,3,15,4210.184,21682.23,100071.84,Part Time,Yes,No,23,travel_frequently,Yes,2,3,1,3,3
1981,42,M,Married,2,Other,Other, Laboratory Technician ,1,14,2,2,0,4,4,3,17,2342.59,6090.75,28111.13,Part Time,No,Yes,5,non-travel,No,2,3,3,4,3
2001,22,M,Single,1,Technical Degree, Research & Development , Laboratory Technician ,1,4,2,1,2,5,3,3,16,3245.0,8437.0,38940.0,Full Time,No,Yes,25,non-travel,Yes,3,2,3,3,3
1994,29,M,Divorced,3,Technical Degree,Other, Manufacturing Director ,2,8,3,1,2,4,2,3,12,3541.936,9234.33,42620.0,Part Time,No,Yes,19,travel_rarely,No,4,3,4,2,4
1977,46,F,Married,1,Medical, Research & Development , Healthcare Representative ,3,19,2,1,2,5,3,3,11,5175.865999999999,22808.5,105270.0,Full Time,No,Yes,18,travel_frequently,No,1,3,3,4,2
1991,32,M,Unknown,4,Other, Sales , Sales Executive ,2,8,4,1,2,8,2,3,12,3325.086,11681.39,53914.11,Part Time,Unknown,Yes,11,non-travel,Yes,4,4,3,4,3
1999,24,M,Unknown,3,Medical,Other, Sales Representative ,1,3,2,2,1,0,3,3,13,2000.0,5200.0,53914.11,Full Time,No,No,24,non-travel,No,4,3,4,3,3
1988,35,M,Single,2,Unknown,Other, Laboratory Technician ,2,8,3,0,2,4,3,3,14,5831.304000000001,7975.5,36810.0,Part Time,No,No,25,travel_rarely,No,1,2,4,4,3
1981,42,F,Married,4,Life Sciences,Other, Healthcare Representative ,2,10,10,2,2,1,4,3,13,4492.84,11681.39,53914.11,Part Time,No,Yes,2,non-travel,No,3,3,4,2,3
1975,48,F,Married,4,Unknown,Other, Manager ,4,21,3,0,2,7,3,3,11,10791.156,33238.2,153407.07,Full Time,No,Yes,1,travel_rarely,No,4,2,1,1,1
1979,44,F,Unknown,4,Unknown,Other, Human Resources ,2,10,2,0,2,4,1,3,11,4492.84,11681.39,53914.11,Part Time,No,Yes,1,travel_rarely,No,1,2,3,2,4
1989,34,F,Unknown,3,Unknown, Sales , Sales Representative ,1,8,8,0,6,1,3,3,18,2342.59,6090.75,28111.13,Part Time,Yes,Yes,14,non-travel,No,3,3,3,4,3
2002,21,M,Unknown,1,Technical Degree,Other, Sales Representative ,1,3,3,1,2,1,2,3,11,2872.5,7468.5,34470.0,Full Time,Unknown,Yes,22,non-travel,No,3,3,3,3,3
1979,44,M,Unknown,4,Unknown,Other, Manager ,5,26,2,0,1,4,2,3,12,16260.83,42278.17,53914.11,Full Time,Unknown,Yes,3,travel_rarely,No,4,3,4,1,4
2001,22,M,Married,1,Medical,Other, Research Scientist ,1,3,2,2,2,0,3,4,20,2342.59,6090.75,28111.13,Part Time,Unknown,Yes,6,travel_rarely,No,1,3,3,4,3
1997,26,F,Unknown,3,Unknown,Other, Laboratory Technician ,1,4,3,0,2,1,2,3,13,2215.83,5761.17,53914.11,Full Time,Yes,No,6,travel_rarely,No,3,3,4,3,3
1987,36,M,Unknown,2,Medical,Other, Manufacturing Director ,2,13,3,0,2,2,2,3,11,7372.5,19168.5,88470.0,Full Time,Yes,Yes,9,non-travel,No,2,2,2,3,3
1996,27,M,Single,4,Medical,Other, Research Scientist ,1,5,4,1,1,0,0,3,13,2828.87,4430.83,20450.0,Part Time,Unknown,Yes,3,non-travel,No,1,2,4,4,3
2000,23,M,Unknown,3,Unknown,Other, Research Scientist ,1,5,3,0,2,2,3,3,16,2342.59,6090.75,28111.13,Part Time,Unknown,No,4,travel_rarely,No,1,4,1,1,4
1998,25,M,Unknown,3,Life Sciences,Other, Sales Executive ,2,4,3,1,2,0,4,4,22,4042.5,10510.5,48510.0,Part Time,No,No,8,non-travel,No,4,4,2,3,3
1975,48,M,Married,1,Unknown,Other, Sales Executive ,2,17,2,2,2,3,3,3,12,4070.864,17593.33,81200.0,Full Time,Unknown,Yes,14,non-travel,No,1,4,2,4,3
1999,24,F,Single,2,Life Sciences,Other, Sales Executive ,2,5,2,2,0,9,3,3,14,3814.17,9916.83,45770.0,Part Time,No,Yes,3,travel_rarely,Yes,1,3,3,1,3
1963,60,M,Single,4,Unknown,Other, Sales Executive ,2,10,2,2,2,8,1,3,14,2772.6400000000003,11710.83,54050.0,Full Time,No,No,16,travel_rarely,No,1,3,1,4,3
1973,50,M,Married,4,Marketing,Other, Sales Representative ,1,4,2,2,2,7,2,3,15,2342.59,6090.75,28111.13,Part Time,No,Yes,8,non-travel,No,4,3,2,4,3
1979,44,M,Single,3,Unknown,Other, Laboratory Technician ,1,9,5,1,4,2,5,3,14,2766.888,8034.0,37080.0,Full Time,Unknown,No,24,non-travel,No,1,1,3,3,3
1976,47,F,Divorced,3,Unknown,Other, Sales Executive ,4,28,22,11,13,9,2,3,12,11475.0,29835.0,137700.0,Full Time,Yes,Yes,3,travel_frequently,No,4,3,3,4,2
1981,42,M,Divorced,3,Unknown,Other, Research Scientist ,1,12,2,2,2,6,2,3,12,2342.59,6090.75,28111.13,Part Time,Unknown,Yes,19,non-travel,Yes,3,4,3,4,3
1980,43,M,Married,3,Life Sciences,Other, Sales Executive ,2,7,2,2,2,3,5,3,18,4492.84,11681.39,53914.11,Part Time,Unknown,Yes,15,travel_frequently,No,4,2,4,3,3
1983,40,F,Single,1,Unknown,Other, Research Scientist ,1,5,4,2,3,0,2,4,20,2342.59,6090.75,28111.13,Part Time,Unknown,No,2,non-travel,No,4,2,4,4,2
1994,29,M,Unknown,3,Unknown, Sales , Sales Representative ,1,1,2,2,2,1,2,3,14,1914.17,4976.83,53914.11,Full Time,No,No,10,non-travel,No,4,3,2,4,3
1970,53,M,Single,3,Unknown,Other, Laboratory Technician ,2,19,2,2,2,2,4,3,17,2041.67,5308.33,24500.0,Part Time,Unknown,No,6,non-travel,No,4,3,4,4,3
2000,23,M,Single,1,Medical, Research & Development , Research Scientist ,1,2,2,0,2,1,3,3,18,2342.59,6090.75,28111.13,Part Time,Unknown,No,12,travel_rarely,No,1,4,3,4,3
1968,55,M,Unknown,3,Medical,Other, Manager ,5,24,5,1,4,5,2,3,13,15943.72,41453.67,53914.11,Full Time,Yes,No,2,non-travel,Yes,4,3,1,4,3
1997,26,F,Unknown,2,Life Sciences,Other, Laboratory Technician ,1,6,2,2,0,3,2,3,14,2342.59,6090.75,28111.13,Part Time,No,Yes,1,travel_frequently,No,1,1,4,1,3
1989,34,F,Single,4,Unknown,Other, Research Scientist ,1,9,4,1,3,2,2,3,16,2342.59,6090.75,53914.11,Full Time,No,No,1,travel_rarely,No,2,4,4,3,3
1996,27,M,Married,1,Marketing,Other, Sales Executive ,2,5,4,1,1,0,3,3,19,3618.33,9407.67,43420.0,Part Time,Unknown,Yes,8,non-travel,No,3,3,4,2,3
1988,35,F,Unknown,4,Unknown,Other, Sales Representative ,1,3,3,0,2,1,1,3,16,2143.33,5572.67,53914.11,Full Time,No,Yes,8,travel_rarely,No,1,3,4,2,2
1993,30,M,Married,3,Unknown,Other, Laboratory Technician ,1,7,2,0,2,3,2,3,21,2342.59,6090.75,28111.13,Part Time,No,Yes,18,travel_rarely,No,4,1,3,3,3
1989,34,F,Unknown,2,Unknown,Other, Sales Executive ,2,7,3,1,2,5,1,3,17,5416.67,14083.33,53914.11,Full Time,No,Yes,8,non-travel,No,3,3,1,2,3
1971,52,F,Unknown,4,Life Sciences, Research & Development , Laboratory Technician ,2,9,5,1,4,8,3,4,20,2624.17,6822.83,31490.0,Part Time,Unknown,Yes,25,travel_rarely,No,2,3,3,2,3
1990,33,F,Single,3,Marketing,Other, Sales Executive ,2,6,3,0,2,5,3,3,15,4436.67,11535.33,53240.0,Part Time,Unknown,No,16,travel_rarely,Yes,1,3,1,3,3
1988,35,F,Single,4,Unknown, Research & Development , Research Scientist ,1,7,2,2,2,3,0,3,13,2285.204,6090.75,28111.13,Part Time,No,No,20,travel_rarely,No,2,4,3,3,3
1995,28,M,Single,4,Unknown,Other, Research Scientist ,1,5,2,2,1,6,3,3,17,3651.67,9494.33,43820.0,Full Time,No,Yes,2,non-travel,Yes,3,3,3,4,2
1987,36,M,Married,3,Human Resources,Other, Human Resources ,1,13,5,0,4,4,2,3,13,2342.59,6090.75,28111.13,Part Time,Unknown,Yes,13,travel_rarely,No,3,3,2,2,3
1989,34,F,Single,4,Unknown, Research & Development , Research Scientist ,1,6,5,1,3,1,3,3,16,2127.5,5531.5,25530.0,Part Time,No,Yes,16,travel_frequently,No,3,2,4,3,3
1989,34,M,Unknown,2,Unknown,Other, Human Resources ,1,4,3,0,2,0,1,3,19,2342.59,6090.75,53914.11,Full Time,Unknown,No,3,non-travel,No,3,3,4,3,1
1979,44,M,Single,3,Unknown,Other, Healthcare Representative ,2,10,5,2,3,9,2,3,12,4944.17,12854.83,59330.0,Full Time,Unknown,Yes,4,travel_rarely,No,4,3,2,4,2
1991,32,M,Divorced,4,Life Sciences,Other, Sales Executive ,2,8,5,0,3,2,3,3,11,5467.518,9539.83,44030.0,Part Time,Unknown,Yes,13,non-travel,No,2,3,4,3,2
1970,53,F,Married,2,Unknown,Other, Sales Executive ,3,35,5,0,4,7,3,3,18,9111.67,23690.33,109340.0,Full Time,Yes,No,7,non-travel,No,1,2,4,4,3
2001,22,M,Unknown,2,Life Sciences,Other, Manufacturing Director ,2,4,2,2,2,6,2,4,22,4492.84,11681.39,53914.11,Part Time,Unknown,No,1,non-travel,No,4,2,4,1,1
1979,44,M,Unknown,4,Life Sciences,Other, Laboratory Technician ,1,10,3,0,2,2,2,4,24,2342.59,6090.75,28111.13,Part Time,Yes,No,8,travel_rarely,No,1,4,4,3,2
1988,35,F,Divorced,4,Life Sciences,Other, Research Scientist ,1,10,10,7,8,1,3,3,19,1685.0,4381.0,20220.0,Part Time,Unknown,Yes,25,travel_frequently,Yes,4,3,2,1,2
1998,25,M,Unknown,1,Unknown,Other, Sales Executive ,2,5,5,0,3,1,1,3,12,3546.67,9221.33,42560.0,Part Time,No,No,4,non-travel,No,3,2,1,1,4
1974,49,F,Unknown,3,Technical Degree,Other, Research Scientist ,1,7,4,0,2,2,2,3,16,2983.33,7756.67,53914.11,Full Time,No,No,1,travel_rarely,No,3,3,1,2,3
1999,24,M,Unknown,1,Life Sciences,Other, Laboratory Technician ,1,5,5,3,4,0,2,3,17,2342.59,6090.75,28111.13,Part Time,Unknown,No,19,non-travel,No,1,2,4,4,2
1985,38,M,Unknown,3,Marketing, Sales , Sales Representative ,1,3,2,1,2,0,3,3,19,2415.83,6281.17,28990.0,Full Time,Unknown,Yes,9,travel_rarely,No,2,2,2,4,3
1994,29,F,Unknown,3,Medical,Other, Sales Representative ,1,5,3,0,2,6,3,3,19,2342.59,6090.75,28111.13,Part Time,Yes,No,1,travel_rarely,Yes,2,2,3,3,3
1980,43,F,Married,3,Life Sciences,Other, Healthcare Representative ,2,12,5,2,2,4,2,3,13,4635.0,12051.0,53914.11,Full Time,Unknown,Yes,1,travel_frequently,No,4,3,4,2,2
1995,28,M,Single,4,Medical,Other, Sales Executive ,2,4,4,0,2,1,3,3,14,3426.772,11681.39,53914.11,Part Time,Unknown,No,5,travel_rarely,No,1,3,4,2,3
2003,20,F,Single,3,Unknown,Other, Sales Representative ,1,2,2,0,2,1,3,3,13,2342.59,6090.75,28111.13,Part Time,Unknown,Yes,2,travel_rarely,Yes,3,2,3,4,2
1976,47,F,Single,4,Life Sciences,Other, Sales Representative ,1,3,3,1,2,1,3,3,18,2342.59,6090.75,53914.11,Full Time,Yes,Yes,2,non-travel,No,4,2,4,1,2
2001,22,F,Married,1,Life Sciences,Other, Manufacturing Director ,2,4,3,0,2,0,3,3,19,4492.84,11681.39,53914.11,Part Time,Yes,Yes,3,travel_rarely,Yes,2,3,3,1,4
1995,28,F,Divorced,3,Medical,Other, Research Scientist ,1,6,2,2,2,5,2,3,18,1980.83,5150.17,23770.0,Part Time,No,Yes,9,non-travel,No,3,3,3,2,3
1984,39,M,Married,3,Medical, Research & Development , Laboratory Technician ,1,10,2,2,2,7,2,4,21,4119.37,5208.67,24040.0,Part Time,Unknown,Yes,6,non-travel,Yes,4,3,1,4,1
1990,33,M,Single,4,Unknown, Research & Development , Research Scientist ,1,7,3,0,2,3,1,3,11,2332.5,6064.5,27990.0,Part Time,Unknown,No,1,travel_rarely,No,3,2,1,2,3
1987,36,M,Single,4,Other, Research & Development , Research Scientist ,1,8,6,0,1,2,6,3,18,2342.59,6090.75,28111.13,Part Time,Unknown,Yes,7,travel_rarely,No,2,3,4,3,3
1988,35,F,Unknown,3,Unknown,Other, Sales Executive ,2,5,5,1,0,1,3,3,16,4492.84,11681.39,53914.11,Full Time,Unknown,Yes,48,travel_rarely,No,3,3,3,2,3
1992,31,M,Single,2,Medical,Other, Research Scientist ,1,4,3,1,2,0,0,4,22,2259.7380000000003,6090.75,28111.13,Part Time,Yes,No,9,non-travel,Yes,3,2,1,1,3
1990,33,F,Single,1,Life Sciences,Other, Research Scientist ,1,5,3,0,2,3,4,3,18,2876.67,7479.33,34520.0,Full Time,Unknown,No,13,travel_rarely,No,2,3,4,1,3
1996,27,F,Married,4,Unknown,Other, Laboratory Technician ,1,4,2,2,2,9,2,3,14,2342.5,6090.5,28110.0,Part Time,No,No,24,non-travel,No,2,3,2,2,3
1993,30,F,Married,3,Unknown,Other, Research Scientist ,1,9,5,0,1,4,2,3,11,3177.0060000000003,6090.75,28111.13,Part Time,Unknown,Yes,22,travel_rarely,Yes,1,3,3,2,3
1999,24,F,Divorced,1,Medical,Other, Manufacturing Director ,2,5,4,3,2,1,6,3,15,3647.5,9483.5,43770.0,Part Time,No,No,17,non-travel,No,4,2,3,2,3
1988,35,M,Divorced,4,Other, Research & Development , Laboratory Technician ,1,5,4,0,2,1,2,4,24,2342.59,6090.75,28111.13,Part Time,Yes,No,14,travel_rarely,Yes,3,2,2,4,1
1993,30,F,Unknown,3,Unknown,Other, Laboratory Technician ,1,4,3,1,2,0,3,3,17,2342.59,6090.75,28111.13,Part Time,Unknown,Yes,5,non-travel,Yes,2,3,2,1,3
1975,48,M,Unknown,3,Unknown, Research & Development , Healthcare Representative ,2,19,2,2,2,2,0,3,13,3533.33,9186.67,53914.11,Full Time,No,Yes,6,travel_rarely,No,1,2,3,4,3
1982,41,F,Unknown,2,Medical,Other, Manufacturing Director ,2,8,2,2,1,6,6,3,14,4492.84,11681.39,53914.11,Full Time,Unknown,No,7,travel_rarely,No,4,3,3,2,3
1996,27,F,Unknown,4,Unknown, Research & Development , Manufacturing Director ,2,5,3,2,2,0,2,3,18,3522.5,9158.5,42270.0,Part Time,Unknown,Yes,2,non-travel,No,1,3,4,2,3
1988,35,M,Unknown,3,Other, Research & Development , Laboratory Technician ,1,3,3,1,2,1,4,4,20,3264.17,8486.83,39170.0,Full Time,No,No,10,travel_rarely,No,2,3,4,1,2
1997,26,M,Single,2,Medical,Other, Sales Executive ,2,5,2,2,2,8,6,3,18,2935.754,10766.17,49690.0,Part Time,No,Yes,29,non-travel,Yes,2,1,1,4,3
1990,33,F,Unknown,1,Life Sciences, Sales , Sales Representative ,1,3,2,2,2,0,2,3,19,2342.59,6090.75,28111.13,Part Time,Unknown,No,8,non-travel,No,2,2,4,4,2
1997,26,M,Married,3,Life Sciences,Other, Research Scientist ,1,6,3,1,2,6,2,3,14,1701.67,4424.33,20420.0,Part Time,Unknown,Yes,2,non-travel,Yes,1,3,1,2,3
1985,38,M,Unknown,4,Unknown,Other, Research Scientist ,1,8,2,2,2,3,2,3,16,2350.83,6112.17,53914.11,Full Time,No,No,3,travel_frequently,No,3,3,3,1,3
1977,46,M,Unknown,4,Medical,Other, Research Director ,5,23,2,2,2,9,0,3,17,14413.322,41453.67,191324.62,Full Time,No,Yes,47,non-travel,No,4,3,4,4,3
2003,20,F,Single,3,Marketing,Other, Sales Representative ,1,2,2,0,2,1,3,3,14,2342.59,6090.75,28111.13,Part Time,Yes,Yes,9,non-travel,Yes,4,3,4,2,3
1993,30,M,Married,3,Other,Other, Manufacturing Director ,2,7,6,0,2,0,1,3,15,8297.5,21573.5,53914.11,Full Time,Unknown,No,20,non-travel,No,2,3,1,3,2
1996,27,M,Married,5,Unknown,Other, Laboratory Technician ,1,3,3,1,2,1,4,3,19,2342.59,6090.75,28111.13,Part Time,Unknown,No,8,non-travel,No,1,1,3,4,3
1968,55,M,Married,1,Unknown,Other, Manufacturing Director ,3,23,3,1,2,3,4,3,18,13882.06,21682.23,100071.84,Part Time,No,Yes,2,non-travel,No,4,3,2,2,3
1990,33,M,Unknown,3,Life Sciences,Other, Healthcare Representative ,3,6,3,1,2,4,2,3,15,8339.32,21682.23,100071.84,Full Time,No,Yes,5,travel_rarely,No,4,2,4,3,3
1995,28,M,Unknown,2,Life Sciences,Other, Laboratory Technician ,1,4,4,2,2,1,5,3,16,1839.17,4781.83,22070.0,Full Time,No,Yes,15,non-travel,No,1,3,3,4,2
1989,34,M,Unknown,1,Life Sciences,Other, Healthcare Representative ,2,6,6,0,4,0,1,3,17,6463.33,16804.67,53914.11,Full Time,No,Yes,3,non-travel,No,1,3,4,3,2
1990,33,M,Single,3,Medical,Other, Research Scientist ,1,5,2,2,2,4,0,4,20,2342.59,6090.75,28111.13,Part Time,Yes,No,25,non-travel,Yes,1,2,2,2,3
1990,33,F,Married,3,Life Sciences,Other, Sales Executive ,2,4,3,0,2,0,3,3,17,4492.84,11681.39,53914.11,Part Time,No,No,7,non-travel,No,4,3,2,3,3
2002,21,F,Single,1,Unknown,Other, Research Scientist ,1,2,2,2,2,1,6,3,11,2448.572,4485.0,20700.0,Part Time,Yes,Yes,1,non-travel,No,4,2,2,3,4
1992,31,M,Married,3,Unknown,Other, Sales Representative ,1,3,2,2,2,0,4,3,12,2200.87,6047.17,27910.0,Full Time,No,Yes,20,travel_frequently,No,3,4,4,1,3
1988,35,M,Divorced,2,Marketing,Other, Sales Executive ,2,5,5,0,2,1,3,3,11,4492.84,11681.39,53914.11,Full Time,Unknown,Yes,11,non-travel,No,4,3,4,4,3
1989,34,M,Single,2,Unknown,Other, Manufacturing Director ,2,7,3,0,2,2,3,3,11,4492.84,11681.39,53914.11,Full Time,No,Yes,2,non-travel,No,4,3,3,4,3
1990,33,F,Single,4,Unknown,Other, Sales Executive ,2,6,5,0,3,0,3,3,17,3911.988,17818.67,82240.0,Full Time,Unknown,No,9,non-travel,Yes,1,3,1,1,3
1992,31,M,Unknown,3,Medical, Research & Development , Laboratory Technician ,1,3,2,2,2,1,5,3,12,2200.87,5655.0,26100.0,Part Time,No,Yes,15,non-travel,Yes,3,3,3,3,2
1986,37,F,Unknown,2,Unknown,Other, Healthcare Representative ,2,9,6,1,3,7,2,3,13,4775.83,12417.17,57310.0,Full Time,No,Yes,25,travel_rarely,No,3,2,4,3,3
1996,27,M,Married,3,Unknown,Other, Research Scientist ,1,4,4,2,2,1,0,3,13,2176.834,5501.17,25390.0,Part Time,No,Yes,6,travel_rarely,No,4,2,3,3,3
1988,35,M,Married,4,Other,Other, Laboratory Technician ,1,2,2,2,2,1,2,3,13,2187.684,5148.0,23760.0,Part Time,Unknown,Yes,4,travel_frequently,No,4,2,4,2,4
1967,56,F,Divorced,4,Unknown,Other, Manager ,5,28,5,4,2,4,2,3,13,15943.72,41453.67,191324.62,Full Time,No,Yes,4,non-travel,No,4,3,1,4,3
1978,45,F,Unknown,3,Medical, Research & Development , Research Scientist ,1,13,3,0,2,4,2,3,19,2342.59,6090.75,28111.13,Part Time,Yes,Yes,7,non-travel,No,1,3,3,3,3
2003,20,M,Single,3,Unknown,Other, Laboratory Technician ,1,2,2,1,2,1,2,3,12,2342.59,6090.75,28111.13,Part Time,Unknown,Yes,3,travel_rarely,No,1,2,3,1,2
1973,50,F,Unknown,3,Unknown,Other, Manager ,4,15,2,2,2,2,3,4,22,12783.92,33238.2,153407.07,Full Time,No,Yes,2,travel_frequently,No,4,3,1,3,3
1977,46,M,Unknown,2,Life Sciences,Other, Research Director ,5,25,4,0,3,5,2,3,11,15375.182,41342.17,190810.0,Full Time,Unknown,Yes,15,non-travel,No,4,3,2,1,3
1991,32,F,Married,3,Other,Other, Laboratory Technician ,1,2,2,2,2,1,2,4,20,2200.87,5943.17,27430.0,Part Time,No,Yes,13,non-travel,No,3,2,2,3,3
1988,35,F,Married,2,Unknown,Other, Sales Executive ,3,16,13,4,12,4,6,3,11,8339.32,21682.23,100071.84,Part Time,Unknown,No,8,non-travel,No,3,2,4,2,2
1994,29,F,Divorced,3,Life Sciences,Other, Research Scientist ,1,3,3,1,2,1,5,3,15,3133.33,8146.67,37600.0,Full Time,No,Yes,1,non-travel,No,1,3,4,1,3
2002,21,F,Unknown,2,Unknown,Other, Laboratory Technician ,1,2,2,2,2,1,2,4,20,2342.59,6090.75,53914.11,Full Time,Unknown,Yes,10,travel_frequently,Yes,1,2,3,3,1
1989,34,F,Unknown,3,Marketing,Other, Sales Executive ,2,4,3,0,2,0,3,3,12,3781.67,9832.33,45380.0,Part Time,Unknown,Yes,2,travel_rarely,No,3,3,1,4,3
1995,28,M,Single,4,Medical,Other, Laboratory Technician ,1,5,4,0,2,0,2,3,11,2342.59,6090.75,28111.13,Part Time,Yes,No,1,non-travel,No,4,3,3,3,2
1988,35,M,Married,1,Life Sciences,Other, Research Scientist ,1,4,3,2,2,0,3,3,14,2342.59,6090.75,28111.13,Part Time,Yes,No,6,travel_rarely,No,3,3,3,4,3
1995,28,M,Married,3,Life Sciences,Other, Laboratory Technician ,1,2,2,2,2,1,2,3,12,2474.5,8378.5,38670.0,Full Time,Unknown,No,2,travel_frequently,No,4,2,4,2,3
1995,28,M,Single,3,Technical Degree,Other, Research Scientist ,1,5,3,1,2,2,2,3,11,1733.33,4506.67,20800.0,Part Time,Unknown,No,1,travel_rarely,No,4,3,1,2,2
1998,25,F,Single,3,Medical, Research & Development , Research Scientist ,1,1,2,2,1,1,3,3,18,2192.518,4541.33,20960.0,Part Time,Unknown,No,1,non-travel,No,4,3,2,4,2
1965,58,M,Unknown,4,Life Sciences,Other, Research Scientist ,1,12,2,2,2,1,3,3,12,2342.59,6090.75,28111.13,Part Time,Unknown,Yes,23,non-travel,No,1,3,3,4,3
1984,39,M,Single,3,Medical,Other, Research Scientist ,1,6,5,0,3,0,2,3,13,3253.33,8458.67,39040.0,Full Time,Unknown,No,23,non-travel,Yes,3,3,1,1,3
1993,30,F,Married,3,Technical Degree,Other, Laboratory Technician ,2,10,9,6,7,0,6,3,12,3855.83,10025.17,46270.0,Full Time,No,Yes,6,travel_rarely,No,1,2,4,1,3
1973,50,F,Married,3,Life Sciences,Other, Research Director ,4,16,3,1,2,4,2,3,11,12783.92,33238.2,153407.07,Full Time,Unknown,Yes,46,non-travel,No,4,3,1,2,3
1982,41,M,Single,2,Medical,Other, Sales Executive ,2,19,19,11,9,1,4,3,13,7411.666,11681.39,53914.11,Part Time,No,Yes,10,non-travel,No,3,1,2,1,3
1992,31,F,Unknown,3,Unknown,Other, Sales Representative ,1,5,3,2,2,1,2,3,11,1918.33,4987.67,23020.0,Part Time,Yes,No,1,non-travel,Yes,4,3,2,1,4
1979,44,M,Unknown,3,Life Sciences,Other, Laboratory Technician ,1,10,3,1,2,4,4,3,12,2342.59,6090.75,53914.11,Full Time,No,Yes,3,non-travel,Yes,1,3,1,3,4
1983,40,M,Divorced,2,Unknown, Research & Development , Research Scientist ,1,6,4,0,0,9,0,3,16,2342.59,6090.75,53914.11,Full Time,No,Yes,16,non-travel,No,3,3,3,2,3
1998,25,M,Married,1,Medical, Research & Development , Laboratory Technician ,1,6,3,1,2,3,6,3,11,2342.59,6090.75,28111.13,Part Time,Unknown,No,19,travel_rarely,No,4,3,4,3,2
1983,40,M,Unknown,4,Life Sciences,Other, Laboratory Technician ,1,7,4,0,3,3,3,4,22,2342.59,6090.75,28111.13,Part Time,No,Yes,1,travel_rarely,No,2,3,2,3,3
1972,51,F,Unknown,2,Technical Degree,Other, Manufacturing Director ,4,18,5,0,3,3,1,3,16,12783.92,33238.2,153407.07,Full Time,No,Yes,11,travel_rarely,No,4,2,2,2,2
1996,27,M,Single,1,Life Sciences,Other, Sales Executive ,2,6,6,0,0,3,3,4,20,2772.6400000000003,10987.17,50710.0,Part Time,No,No,2,travel_frequently,No,4,1,4,2,3
1988,35,F,Married,4,Marketing,Other, Sales Executive ,2,5,4,3,2,0,0,3,18,4492.84,11681.39,53914.11,Part Time,Unknown,Yes,18,non-travel,Yes,4,3,3,3,2
1985,38,M,Divorced,3,Unknown,Other, Research Scientist ,1,4,4,0,3,1,2,3,11,2342.59,6090.75,28111.13,Part Time,No,Yes,7,non-travel,No,4,4,3,4,3
1992,31,M,Married,4,Unknown,Other, Manufacturing Director ,2,10,10,6,7,1,3,3,15,4983.567999999999,11681.39,53914.11,Part Time,Unknown,Yes,22,non-travel,Yes,4,3,3,4,2
1972,51,M,Unknown,3,Unknown,Other, Sales Executive ,3,14,4,3,2,2,5,3,11,8830.0,22958.0,53914.11,Full Time,Unknown,Yes,2,non-travel,No,2,3,2,2,3
